Order ID,Order Date,Region,Category,Sales,Profit
CA-2013-152156,09-11-2013,South,Furniture,261.96,41.9136
CA-2013-152156,09-11-2013,South,Furniture,731.94,219.582
CA-2013-138688,13-06-2013,West,Office Supplies,14.62,6.8714
US-2012-108966,11-10-2012,South,Furniture,957.5775,-383.031
US-2012-108966,11-10-2012,South,Office Supplies,22.368,2.5164
CA-2011-115812,09-06-2011,West,Furniture,48.86,14.1694
CA-2011-115812,09-06-2011,West,Office Supplies,7.28,1.9656
CA-2011-115812,09-06-2011,West,Technology,907.152,90.7152
CA-2011-115812,09-06-2011,West,Office Supplies,18.504,5.7825
CA-2011-115812,09-06-2011,West,Office Supplies,114.9,34.47
CA-2011-115812,09-06-2011,West,Furniture,1706.184,85.3092
CA-2011-115812,09-06-2011,West,Technology,911.424,68.3568
CA-2014-114412,16-04-2014,South,Office Supplies,15.552,5.4432
CA-2013-161389,06-12-2013,West,Office Supplies,407.976,132.5922
US-2012-118983,22-11-2012,Central,Office Supplies,68.81,-123.858
US-2012-118983,22-11-2012,Central,Office Supplies,2.544,-3.816
CA-2011-105893,11-11-2011,Central,Office Supplies,665.88,13.3176
CA-2011-167164,13-05-2011,West,Office Supplies,55.5,9.99
CA-2011-143336,27-08-2011,West,Office Supplies,8.56,2.4824
CA-2011-143336,27-08-2011,West,Technology,213.48,16.011
CA-2011-143336,27-08-2011,West,Office Supplies,22.72,7.384
CA-2013-137330,10-12-2013,Central,Office Supplies,19.46,5.0596
CA-2013-137330,10-12-2013,Central,Office Supplies,60.34,15.6884
US-2014-156909,17-07-2014,East,Furniture,71.372,-1.0196
CA-2012-106320,25-09-2012,West,Furniture,1044.63,240.2649
CA-2013-121755,16-01-2013,West,Office Supplies,11.648,4.2224
CA-2013-121755,16-01-2013,West,Technology,90.57,11.7741
US-2012-150630,17-09-2012,East,Furniture,3083.43,-1665.0522
US-2012-150630,17-09-2012,East,Office Supplies,9.618,-7.0532
US-2012-150630,17-09-2012,East,Furniture,124.2,15.525
US-2012-150630,17-09-2012,East,Office Supplies,3.264,1.1016
US-2012-150630,17-09-2012,East,Office Supplies,86.304,9.7092
US-2012-150630,17-09-2012,East,Office Supplies,6.858,-5.715
US-2012-150630,17-09-2012,East,Office Supplies,15.76,3.546
CA-2014-107727,20-10-2014,Central,Office Supplies,29.472,9.9468
CA-2013-117590,09-12-2013,Central,Technology,1097.544,123.4737
CA-2013-117590,09-12-2013,Central,Furniture,190.92,-147.963
CA-2012-117415,27-12-2012,Central,Office Supplies,113.328,35.415
CA-2012-117415,27-12-2012,Central,Furniture,532.3992,-46.9764
CA-2012-117415,27-12-2012,Central,Furniture,212.058,-15.147
CA-2012-117415,27-12-2012,Central,Technology,371.168,41.7564
CA-2014-120999,11-09-2014,Central,Technology,147.168,16.5564
CA-2013-101343,18-07-2013,West,Office Supplies,77.88,3.894
CA-2014-139619,20-09-2014,South,Office Supplies,95.616,9.5616
CA-2013-118255,12-03-2013,Central,Technology,45.98,19.7714
CA-2013-118255,12-03-2013,Central,Office Supplies,17.46,8.2062
CA-2011-146703,20-10-2011,Central,Office Supplies,211.96,8.4784
CA-2013-169194,21-06-2013,East,Technology,45,4.95
CA-2013-169194,21-06-2013,East,Technology,21.8,6.104
CA-2012-115742,18-04-2012,Central,Office Supplies,38.22,17.9634
CA-2012-115742,18-04-2012,Central,Office Supplies,75.18,35.3346
CA-2012-115742,18-04-2012,Central,Furniture,6.16,2.9568
CA-2012-115742,18-04-2012,Central,Furniture,89.99,17.0981
CA-2013-105816,12-12-2013,East,Office Supplies,15.26,6.2566
CA-2013-105816,12-12-2013,East,Technology,1029.95,298.6855
CA-2013-111682,18-06-2013,East,Office Supplies,208.56,52.14
CA-2013-111682,18-06-2013,East,Office Supplies,32.4,15.552
CA-2013-111682,18-06-2013,East,Furniture,319.41,7.098
CA-2013-111682,18-06-2013,East,Office Supplies,14.56,6.9888
CA-2013-111682,18-06-2013,East,Technology,30,3.3
CA-2013-111682,18-06-2013,East,Office Supplies,48.48,16.362
CA-2013-111682,18-06-2013,East,Office Supplies,1.68,0.84
CA-2012-135545,24-11-2012,West,Technology,13.98,6.1512
CA-2012-135545,24-11-2012,West,Office Supplies,25.824,9.3612
CA-2012-135545,24-11-2012,West,Office Supplies,146.73,68.9631
CA-2012-135545,24-11-2012,West,Furniture,79.76,22.3328
US-2012-164175,30-04-2012,Central,Furniture,213.115,-15.2225
CA-2011-106376,05-12-2011,West,Office Supplies,1113.024,111.3024
CA-2011-106376,05-12-2011,West,Technology,167.968,62.988
CA-2013-119823,05-06-2013,South,Office Supplies,75.88,35.6636
CA-2013-106075,19-09-2013,East,Office Supplies,4.616,1.731
CA-2014-114440,15-09-2014,Central,Office Supplies,19.05,8.763
US-2012-134026,26-04-2012,South,Furniture,831.936,-114.3912
US-2012-134026,26-04-2012,South,Furniture,97.04,1.213
US-2012-134026,26-04-2012,South,Office Supplies,72.784,-18.196
US-2014-118038,10-12-2014,Central,Office Supplies,1.248,-1.9344
US-2014-118038,10-12-2014,Central,Furniture,9.708,-5.8248
US-2014-118038,10-12-2014,Central,Office Supplies,27.24,2.724
US-2011-147606,26-11-2011,Central,Furniture,19.3,-14.475
CA-2013-127208,13-06-2013,South,Office Supplies,208.16,56.2032
CA-2013-127208,13-06-2013,South,Office Supplies,16.74,8.0352
CA-2011-139451,12-10-2011,West,Office Supplies,14.9,4.172
CA-2011-139451,12-10-2011,West,Office Supplies,21.39,6.2031
CA-2012-149734,03-09-2012,South,Office Supplies,200.984,62.8075
US-2014-119662,14-11-2014,Central,Office Supplies,230.376,-48.9549
CA-2014-140088,29-05-2014,South,Furniture,301.96,33.2156
CA-2014-155558,27-10-2014,Central,Technology,19.99,6.7966
CA-2014-155558,27-10-2014,Central,Office Supplies,6.16,2.9568
CA-2013-159695,06-04-2013,Central,Office Supplies,158.368,13.8572
CA-2013-109806,18-09-2013,West,Office Supplies,20.1,6.633
CA-2013-109806,18-09-2013,West,Technology,73.584,8.2782
CA-2013-109806,18-09-2013,West,Office Supplies,6.48,3.1104
CA-2012-149587,31-01-2012,Central,Office Supplies,12.96,6.2208
CA-2012-149587,31-01-2012,Central,Furniture,53.34,16.5354
CA-2012-149587,31-01-2012,Central,Office Supplies,32.96,16.1504
US-2014-109484,07-11-2014,West,Office Supplies,5.682,-3.788
CA-2014-161018,10-11-2014,East,Furniture,96.53,40.5426
CA-2014-157833,18-06-2014,West,Office Supplies,51.312,17.9592
CA-2013-149223,07-09-2013,Central,Office Supplies,77.88,22.5852
